company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,cleaned_text,cluster
ABB,Junior Data Analyst,4.0,"Junior Data Analyst
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

You will be working as Junior Data Analyst and will be part of Process Automation Business Area for Measurement and Analytics division based in Bangalore, India. In this role you will be reporting to COE Data Management and Analytics Manager and will be responsible for performing data analytics activities and developing analytical solutions to enable business in strategy development for existing and potential products, systems or services.
Your responsibilities
Using data systems to help gather, measure, organize and analyze data, providing sound market and competitive intelligence analysis related to market and trends
Preparing analysis of internal sales, technical and financial data, interprets resulting data using statistical tools and making recommendations to Sales, Marketing, Finance and Product Management
Making diagnostic and predictive recommendations to management of existing gaps and new opportunities for growth, identifying global trends and patterns across various dimensions
Extracting and analyzing data from sales or financial tools and preparing reports for management to give insights on trends, patterns and predictions across geographies
Assisting in the development of analytical tools and solutions to support management to drive key business decisions. Training business stakeholders on proper usage of dashboards and monitors on-going data quality
Your background
B.E or B. Tech or BCA or Bachelor's in Data Science
Minimum 1 to 2 years of experience in Data Analytics and visualization
Hands on experience in Basic or Advanced Excel, Basic Statistics, ETL tools, Power BI(Basic),Basic SQL,ML and Python
Ability to adapt, problem solving skills and give recommendations to stakeholders
Effective time management while handling business critical tasks
Good teamwork and collaboration with cross functional teams to meet business deliverables
Good communication skills
More about us
ABB's Measurement & Analytics division is among the world's leading manufacturers and suppliers of smart instrumentation and analyzers. With thousands of experts around the world and high-performance digital technology, ABB's team is dedicated to making measurement easy for its industrial and energy customers to let them operate more efficiently and profitably. We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. It has come to our attention that the name of ABB is being used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABB makes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply. ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for such transactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply. Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning Work model: on site #LI-onsite",Bengaluru,"₹3,25,236",/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.0,3.5,3.9,junior data analyst take your next career step abb with global team that energizing the transformation society and industry achieve more productive sustainable future abb have the clear goal driving diversity and inclusion across all dimensions gender lgbtq abilities ethnicity and generations together are embarking journey where each and every one individually and collectively welcomes and celebrates individual differences you will working junior data analyst and will part process automation business area for measurement and analytics division based bangalore india this role you will reporting coe data management and analytics manager and will responsible for performing data analytics activities and developing analytical solutions enable business strategy development for existing and potential products systems services your responsibilities using data systems help gather measure organize and analyze data providing sound market and competitive intelligence analysis related market and trends preparing analysis internal sales technical and financial data interprets resulting data using statistical tools and making recommendations sales marketing finance and product management making diagnostic and predictive recommendations management existing gaps and new opportunities for growth identifying global trends and patterns across various dimensions extracting and analyzing data from sales financial tools and preparing reports for management give insights trends patterns and predictions across geographies assisting the development analytical tools and solutions support management drive key business decisions training business stakeholders proper usage dashboards and monitors going data quality your background tech bca bachelor data science minimum years experience data analytics and visualization hands experience basic advanced excel basic statistics etl tools power basic basic sql and python ability adapt problem solving skills and give recommendations stakeholders effective time management while handling business critical tasks good teamwork and collaboration with cross functional teams meet business deliverables good communication skills more about abb measurement analytics division among the world leading manufacturers and suppliers smart instrumentation and analyzers with thousands experts around the world and high performance digital technology abb team dedicated making measurement easy for its industrial and energy customers let them operate more efficiently and profitably look forward receiving your application documents submitted english are appreciated you want discover more about abb take another look our website www abb com has come our attention that the name abb being used for asking candidates make payments for job opportunities interviews offers please advised that abb makes such requests all our open positions are made available our career portal for all fitting the criteria apply abb does not charge any fee whatsoever for recruitment process please not make payments any individuals entities connection recruitment with abb even claimed that the money refundable abb not liable for such transactions for current open positions you can visit our career website https global abb group careers and apply please refer detailed recruitment fraud caution notice using the link https global abb group careers how apply fraud warning work model site onsite,1
Philips,Data Scientist - AI/ML,4.0,"Job Title
Data Scientist - AI/ML
Job Description
Job title: Data Scientist - AI/ML
Overall responsibilities
Provide support with guidance to solve complex problems in medical image processing and deliver PoC with TRL level ready for NPI program.
Support collaboration with clinical scientists, AD leader and universities to drive advanced development projects on medical image analytics from R&D perspective.
Support NPI development and address time-pressing complex LCM challenges with image processing / IQ using expertise.
Higher degree of learning attitude to absorb newer knowledge on medical image pre- and / or post-processing.
Specific responsibilities
Hands-on work in some of the following tools, packages, technical areas and modeling techniques:
Keras, Tensorflow, Pytorch, Scikit-learn, Scikit-image, OpenCV, pydicom
Matlab, python, R, Java/C/C++
Convolution Neural Networks, other statistical modeling & classification approaches (regression, SVM, PCA)
Opensource medical image visualization and segmentation tools like ITK, VTK
Medical image post-processing techniques such as noise reduction, contrast enhancement, bone suppression, stitching, ranging. Knowledge of overall IQ (image quality) analysis of diagnostic X-ray images is a plus.
Medical image pre-processing (gain, offset correction, EMI/EMC correction)
AI/ML modeling / computer vision using video from 3

About Philips
We are a health technology company. We built our entire company around the belief that every human matters, and we won't stop until everybody everywhere has access to the quality healthcare that we all deserve. Do the work of your life to help the lives of others.
Learn more about our business.
Discover our rich and exciting history.
Learn more about our purpose.

If you’re interested in this role and have many, but not all, of the experiences needed, we encourage you to apply. You may still be the right candidate for this or other opportunities at Philips. Learn more about our commitment to diversity and inclusion here.",Bengaluru,,,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.7,4.0,3.5,4.0,job title data scientist job description job title data scientist overall responsibilities provide support with guidance solve complex problems medical image processing and deliver poc with trl level ready for npi program support collaboration with clinical scientists leader and universities drive advanced development projects medical image analytics from perspective support npi development and address time pressing complex lcm challenges with image processing using expertise higher degree learning attitude absorb newer knowledge medical image pre and post processing specific responsibilities hands work some the following tools packages technical areas and modeling techniques keras tensorflow pytorch scikit learn scikit image opencv pydicom matlab python java convolution neural networks other statistical modeling classification approaches regression svm pca opensource medical image visualization and segmentation tools like itk vtk medical image post processing techniques such noise reduction contrast enhancement bone suppression stitching ranging knowledge overall image quality analysis diagnostic ray images plus medical image pre processing gain offset correction emi emc correction modeling computer vision using video from about philips are health technology company built our entire company around the belief that every human matters and won stop until everybody everywhere has access the quality healthcare that all deserve the work your life help the lives others learn more about our business discover our rich and exciting history learn more about our purpose you interested this role and have many but not all the experiences needed encourage you apply you may still the right candidate for this other opportunities philips learn more about our commitment diversity and inclusion here,0
HSBC,Data Science GSC’s,3.9,"Job description
Graduate/ Post-graduate degree with relevant field (Finance/Economics/Operation Research/Statistics/Mathematics/ B.Tech/ MBA/ Data Science)
Certification courses in Data Science/Risk Management or similar areas will be added advantage
Excellent coding skills in latest statistical packages/apps SAS/R/Python
Term papers with demonstrated skills set in modelling, forecasting and optimization
Excellent quantitative aptitude and hands-on proficiency with analytical tools such as SAS, R, Python
Highly focused on project delivery, attention to detail
Excellent written and verbal communication skills
Strong collaborative, influencing skills
Strong analytical and problem solving skills, open minded, flexible, pragmatic
Requirements
Qualifications - External

Graduate/ Post-graduate degree with relevant field (Finance/Economics/Operation Research/Statistics/Mathematics/ B.Tech/ MBA/ Data Science)
Certification courses in Data Science/Risk Management or similar areas will be added advantage
Excellent coding skills in latest statistical packages/apps SAS/R/Python
Term papers with demonstrated skills set in modelling, forecasting and optimization
Excellent quantitative aptitude and hands-on proficiency with analytical tools such as SAS, R, Python
Highly focused on project delivery, attention to detail
Excellent written and verbal communication skills
Strong collaborative, influencing skills
Strong analytical and problem solving skills, open minded, flexible, pragmatic
You’ll achieve more at HSBC


HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”
Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

***Issued by HSBC Electronic Data Processing (India) Private LTD***",Bengaluru,,,10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7,job description graduate post graduate degree with relevant field finance economics operation research statistics mathematics tech mba data science certification courses data science risk management similar areas will added advantage excellent coding skills latest statistical packages apps sas python term papers with demonstrated skills set modelling forecasting and optimization excellent quantitative aptitude and hands proficiency with analytical tools such sas python highly focused project delivery attention detail excellent written and verbal communication skills strong collaborative influencing skills strong analytical and problem solving skills open minded flexible pragmatic requirements qualifications external graduate post graduate degree with relevant field finance economics operation research statistics mathematics tech mba data science certification courses data science risk management similar areas will added advantage excellent coding skills latest statistical packages apps sas python term papers with demonstrated skills set modelling forecasting and optimization excellent quantitative aptitude and hands proficiency with analytical tools such sas python highly focused project delivery attention detail excellent written and verbal communication skills strong collaborative influencing skills strong analytical and problem solving skills open minded flexible pragmatic you achieve more hsbc hsbc equal opportunity employer committed building culture where all employees are valued respected and opinions count take pride providing workplace that fosters continuous professional development flexible working and opportunities grow within inclusive and diverse environment encourage applications from all suitably qualified persons irrespective but not limited their gender genetic information sexual orientation ethnicity religion social status medical care leave requirements political affiliation people with disabilities color national origin veteran status etc consider all applications based merit and suitability the role personal data held the bank relating employment applications will used accordance with our privacy statement which available our website issued hsbc electronic data processing india private ltd,0
Facctum Solutions,Data Analyst,,"Job Description
Experience: 0 - 2 years in data operations

Education: Bachelor's Degree in a relevant field

Role & Responsibilities:

As a Data Analyst, you will play a critical role in managing, processing, and optimizing data obtained from diverse sources. Your primary responsibilities will include:

o Data Cleaning and Preparation: Rigorously inspecting and cleansing data to ensure its quality and accuracy. This involves identifying and correcting errors, filling missing values, and standardizing data formats.

o Data Integration and Warehousing: Efficiently combining data from different sources to create a unified and coherent dataset. Managing data storage and retrieval in data warehouses.

o Data Quality Assurance: Continuously monitoring and ensuring the high quality of data. Implementing processes and standards to maintain data integrity.

o Data Analysis and Interpretation: Developing a deep understanding of data attributes. Applying analytical skills to interpret, analyze, and derive meaningful insights from data.

o Reporting and Visualization: Creating reports and dashboards to present data insights in a clear, understandable manner. Utilizing data visualization tools to aid in understanding complex data patterns.

o Collaboration and Communication: Working with various teams to understand data needs, share insights, and support decision-making processes.

Requirements
Skills/Qualifications Required:

To be successful in this role, the following skills are essential:

o Analytical Thinking: Ability to think critically and solve complex problems using data.

o Attention to Detail: Keen eye for details to ensure accuracy and consistency in data.

o Communication Skills: Strong verbal and written communication skills to effectively share insights and collaborate with team members.

o Research and analysis: Ability to conduct comprehensive research on new sources for availability and feasibility

o Technical Proficiency: Ability and knowledge to translate business requirement to the technology team. Understanding of data processing tools like SQL, Excel, and familiarity with programming languages like Python or R will be an added advantage.

o Data Visualization: Ability to derive insights from large volume of data.

o Organizational Skills: Ability to manage multiple projects simultaneously and prioritize tasks effectively.

Benefits
Benefits:

Great workplace, even better colleagues, peers, and mentors.

Backed by industry veterans with 30+ years of experience in the financial domain.

You get to work with cutting edge technology, on a product that will disrupt the Financial Crime and Risk Management sector.

Competitive compensation and benefits.

Group medical insurance with additional benefits.

Provident Fund.

Gratuity.

30 days of paid leave in addition to holidays.

NOTE: Position open for Pune or Bangalore locations

Industry
Technology
City
Bangalore North
State/Province
Karnataka
Country
India
Zip/Postal Code
560071",Karnataka,,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,,job description experience years data operations education bachelor degree relevant field role responsibilities data analyst you will play critical role managing processing and optimizing data obtained from diverse sources your primary responsibilities will include data cleaning and preparation rigorously inspecting and cleansing data ensure its quality and accuracy this involves identifying and correcting errors filling missing values and standardizing data formats data integration and warehousing efficiently combining data from different sources create unified and coherent dataset managing data storage and retrieval data warehouses data quality assurance continuously monitoring and ensuring the high quality data implementing processes and standards maintain data integrity data analysis and interpretation developing deep understanding data attributes applying analytical skills interpret analyze and derive meaningful insights from data reporting and visualization creating reports and dashboards present data insights clear understandable manner utilizing data visualization tools aid understanding complex data patterns collaboration and communication working with various teams understand data needs share insights and support decision making processes requirements skills qualifications required successful this role the following skills are essential analytical thinking ability think critically and solve complex problems using data attention detail keen eye for details ensure accuracy and consistency data communication skills strong verbal and written communication skills effectively share insights and collaborate with team members research and analysis ability conduct comprehensive research new sources for availability and feasibility technical proficiency ability and knowledge translate business requirement the technology team understanding data processing tools like sql excel and familiarity with programming languages like python will added advantage data visualization ability derive insights from large volume data organizational skills ability manage multiple projects simultaneously and prioritize tasks effectively benefits benefits great workplace even better colleagues peers and mentors backed industry veterans with years experience the financial domain you get work with cutting edge technology product that will disrupt the financial crime and risk management sector competitive compensation and benefits group medical insurance with additional benefits provident fund gratuity days paid leave addition holidays note position open for pune bangalore locations industry technology city bangalore north state province karnataka country india zip postal code,3
JPMorgan Chase & Co,Data and Analytics - Associate,4.0,"JOB DESCRIPTION

You are a strategic thinker passionate about driving solutions in Data Domain. You have found the right team.
This position will assist in the sourcing, development, management, and maintenance of the analytics data for the Consumer and Business Banking Business. The role requires a strong techno-functional and analytical background with a focus on joining business, operational and financial metrics from multiple data sources. Interaction between Finance, Information Technology, and other groups are required to ensure the infrastructure fully meets business and ongoing reporting requirements. The activities of this role include analyzing consumer behaviors and the impact of the economy and competition on our business. The mission is to liberate our stakeholders from manual, inefficient, tedious activities through automation and by transforming how we see and understand data. By using the latest innovative software, we employ data visualization techniques to navigate the storyline, generate the right insights, and answer questions quickly.
Job Responsibilities:
Work closely with the business users/analysts to understand requirements and functional needs
Translate business requirements into prototype solutions for new/enhancement requests, with appropriate standards to the IT team
Work closely with end-users/IT during the UAT phase of the project and validate that production results comply with business requirements and expected results
Work with IT to migrate to production the developed solutions and as an SME/escalation point for the deployed solutions
Locate and define new process improvement opportunities
Provide a high level of responsiveness to ad-hoc requests, “what-if” scenario data analytics, and regulatory inquiries
Utilize project management best practices to track book of work priorities, communicate updates, and manage projects to successful completion; explain data concepts & challenges clearly to non-technical stakeholders
Required qualifications, capabilities and skills:
8+ years of total experience within MIS, Business Intelligence, and/or Analytics roles
Must have the ability to write advanced SQL queries for analysis of large datasets
Must have demonstrated knowledge of Excel including but not limited to Pivot, Vlookup, etc.
Must have demonstrated knowledge of one or more data & business intelligence concepts including ETL, Data Modeling, Reporting Automation, and/or Dashboarding
Proven experience delivering timely, high quality analysis from diverse, complex data sources.
Attention to detail a must, team player, excellent communication, project management and client partnership ability
Self-starter; demonstrated ability to complete assigned tasks independently with minimum supervision
Preferred qualifications, capabilities and skills
Finance/Accounting environment experience a plus
Big Data/Tableau experience a plus
Alteryx, Python knowledge a plus
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM
Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction.


The CCB Data & Analytics team responsibly leverages data across Chase to build competitive advantages for the businesses while providing value and protection for customers. The team encompasses a variety of disciplines from data governance and strategy to reporting, data science and machine learning. We have a strong partnership with Technology, which provides cutting edge data and analytics infrastructure. The team powers Chase with insights to create the best customer and business outcomes.",India,,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7,job description you are strategic thinker passionate about driving solutions data domain you have found the right team this position will assist the sourcing development management and maintenance the analytics data for the consumer and business banking business the role requires strong techno functional and analytical background with focus joining business operational and financial metrics from multiple data sources interaction between finance information technology and other groups are required ensure the infrastructure fully meets business and ongoing reporting requirements the activities this role include analyzing consumer behaviors and the impact the economy and competition our business the mission liberate our stakeholders from manual inefficient tedious activities through automation and transforming how see and understand data using the latest innovative software employ data visualization techniques navigate the storyline generate the right insights and answer questions quickly job responsibilities work closely with the business users analysts understand requirements and functional needs translate business requirements into prototype solutions for new enhancement requests with appropriate standards the team work closely with end users during the uat phase the project and validate that production results comply with business requirements and expected results work with migrate production the developed solutions and sme escalation point for the deployed solutions locate and define new process improvement opportunities provide high level responsiveness hoc requests what scenario data analytics and regulatory inquiries utilize project management best practices track book work priorities communicate updates and manage projects successful completion explain data concepts challenges clearly non technical stakeholders required qualifications capabilities and skills years total experience within mis business intelligence and analytics roles must have the ability write advanced sql queries for analysis large datasets must have demonstrated knowledge excel including but not limited pivot vlookup etc must have demonstrated knowledge one more data business intelligence concepts including etl data modeling reporting automation and dashboarding proven experience delivering timely high quality analysis from diverse complex data sources attention detail must team player excellent communication project management and client partnership ability self starter demonstrated ability complete assigned tasks independently with minimum supervision preferred qualifications capabilities and skills finance accounting environment experience plus big data tableau experience plus alteryx python knowledge plus about jpmorgan chase one the oldest financial institutions offers innovative financial solutions millions consumers small businesses and many the world most prominent corporate institutional and government clients under the morgan and chase brands our history spans over years and today are leader investment banking consumer and small business banking commercial banking financial transaction processing and asset management recognize that our people are our strength and the diverse talents they bring our global workforce are directly linked our success are equal opportunity employer and place high value diversity and inclusion our company not discriminate the basis any protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability any other basis protected under applicable law accordance with applicable law make reasonable accommodations for applicants and employees religious practices and beliefs well any mental health physical disability needs about the team our consumer community banking division serves our chase customers through range financial services including personal banking credit cards mortgages auto financing investment advice small business loans and payment processing proud lead the credit card sales and deposit growth and have the most used digital solutions all while ranking first customer satisfaction the ccb data analytics team responsibly leverages data across chase build competitive advantages for the businesses while providing value and protection for customers the team encompasses variety disciplines from data governance and strategy reporting data science and machine learning have strong partnership with technology which provides cutting edge data and analytics infrastructure the team powers chase with insights create the best customer and business outcomes,1
Sanfoundry,Data Scientist - Fresher,,"Job Code: Data-Scientist-Fresher-24011

Location: Bangalore, Hyderabad
Experience: Fresher
Date Posted: 2023-12-31
Valid Through: 2024-01-31

Job Description:
Job description:
Understand the business problem and provide data science solutions.
Building data science solutions end to end.
Carry out proof of concept for data science problems.
Collaborate with product and engineering teams to build data science solutions (end to end).
Do exploratory data analysis to support existing and future data science projects.
Build dashboards to monitor the data science projects performance and communicate the metrics to the business team.
Preferred Qualifications:
Work Experience: 0-2 Years of data science experience.
Machine Learning Knowledge: Well versed with Machine Learning concepts and have built ML projects end to en. Understanding of mathematical concepts behind ML models.
Statistical Data Analysis: Proficiency in applying statistical techniques to analyze data and generate useful business insights.
Data Visualization: Skill in creating meaningful visualizations of complex data sets using tools like Tableau, PowerBI, or Python libraries (eg, Matplotlib, Seaborn).
Model Evaluation and Tuning: Knowledge of techniques for evaluating and improving the performance of machine learning models.
Coding Skills: Strong coding skills in Python. Able to write modular and reusable code.
Key Skills: Supply chain, Data analysis, Sales operations, Coding, Machine learning, Customer service, Data Visualization, Operations, Analytics, Python",Hyderābād,"₹4,16,516",/yr (est.),1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6,job code data scientist fresher location bangalore hyderabad experience fresher date posted valid through job description job description understand the business problem and provide data science solutions building data science solutions end end carry out proof concept for data science problems collaborate with product and engineering teams build data science solutions end end exploratory data analysis support existing and future data science projects build dashboards monitor the data science projects performance and communicate the metrics the business team preferred qualifications work experience years data science experience machine learning knowledge well versed with machine learning concepts and have built projects end understanding mathematical concepts behind models statistical data analysis proficiency applying statistical techniques analyze data and generate useful business insights data visualization skill creating meaningful visualizations complex data sets using tools like tableau powerbi python libraries matplotlib seaborn model evaluation and tuning knowledge techniques for evaluating and improving the performance machine learning models coding skills strong coding skills python able write modular and reusable code key skills supply chain data analysis sales operations coding machine learning customer service data visualization operations analytics python,3
Beinex,Trainee in Data Science,3.9,"Highlights
Experience
Freshers
Joining Date
Immediate
Qualification
Preferably a bachelor’s degree or a master's degree in Engineering, Statistics or Mathematics.
Job Description
A spectacular opportunity awaits those who are passionate about Data Science. We are looking for graduates, to be given training in both the domains mentioned. This will be followed by absorption if you are able to prove your competency over the duration of training. You may be a graduate in Engineering, Mathematics or Statistics. It will be a remote and online training program conducted directly from Kochi, India. Remember, all you need to prove is you are worthy of the role over the 3-month duration by showcasing your attitude, talent, skills, and EQ. The hands-on training program is completely free. You will start receiving the best-in-class salary after the training is done with and you are absorbed; by that time, you would have proven your mettle and suitability to our complete satisfaction. Please note that no payment will be provided over the training period to the candidates selected. We will impart you the requisite knowledge and exposure to an awesome work culture that will kickstart your career once and for ever. Candidates who complete the training to our satisfaction will be provided with a certificate of completion.
Responsibilities
Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality
Interpreting data, analysing results using statistical techniques
Identify, analyse, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with the team to prioritize business and information needs
Acquiring data from primary or secondary data sources and maintaining databases
Key Skills Requirements
Analytical Skills: Business analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions
Communication Skills: Business analysts are often called to present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas
Critical Thinking: Business analysts must look at the numbers, trends, and data and come to new conclusions based on the findings
Attention to Detail: Data is precise, analysts have to make sure they are vigilant in their analysis to come to correct conclusions
Math Skills: Data analysts need math skills to estimate numerical data.
Adeptat queries, report writing and presenting findings
Conscious listening and storytelling skills
Ability to collaborate effectively and work as part of a team
Knowledge of statistics and experience using statistical packages for analysing datasets (R, SPSS, SAS & Python) and visualization tools (Tableau, Power BI) is an added advantage.

Perks: Careers at Beinex
Comprehensive Health Plans
Learning and development
Workation and outdoor training
Hybrid working environment
On-site travel Opportunity
Beinex Branded Merchandise",Cochin,"₹2,80,977",/yr (est.),201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5,highlights experience freshers joining date immediate qualification preferably bachelor degree master degree engineering statistics mathematics job description spectacular opportunity awaits those who are passionate about data science are looking for graduates given training both the domains mentioned this will followed absorption you are able prove your competency over the duration training you may graduate engineering mathematics statistics will remote and online training program conducted directly from kochi india remember all you need prove you are worthy the role over the month duration showcasing your attitude talent skills and the hands training program completely free you will start receiving the best class salary after the training done with and you are absorbed that time you would have proven your mettle and suitability our complete satisfaction please note that payment will provided over the training period the candidates selected will impart you the requisite knowledge and exposure awesome work culture that will kickstart your career once and for ever candidates who complete the training our satisfaction will provided with certificate completion responsibilities developing and implementing data analyses data collection systems and other strategies that optimize statistical efficiency and quality interpreting data analysing results using statistical techniques identify analyse and interpret trends patterns complex data sets filter and clean data reviewing computer reports printouts and performance indicators locate and correct code problems work with the team prioritize business and information needs acquiring data from primary secondary data sources and maintaining databases key skills requirements analytical skills business analysts work with large amounts data facts figures and number crunching you will need see through the data and analyse find conclusions communication skills business analysts are often called present their findings translate the data into understandable document you will need write and speak clearly easily communicating complex ideas critical thinking business analysts must look the numbers trends and data and come new conclusions based the findings attention detail data precise analysts have make sure they are vigilant their analysis come correct conclusions math skills data analysts need math skills estimate numerical data adeptat queries report writing and presenting findings conscious listening and storytelling skills ability collaborate effectively and work part team knowledge statistics and experience using statistical packages for analysing datasets spss sas python and visualization tools tableau power added advantage perks careers beinex comprehensive health plans learning and development workation and outdoor training hybrid working environment site travel opportunity beinex branded merchandise,1
Sanfoundry,Junior Software Engineer - Data Science - Fresher,,"Job Code: Data-Scientist-Fresher-24012

Location: Hyderabad, Surat
Experience: Fresher
Date Posted: 2023-12-31
Valid Through: 2024-01-30

Job Description:
Job description:
Identify valuable data sources and automate collection processes.
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.
Present information using data visualization techniques.
Propose solutions and strategies to business challenges.
Collaborate with engineering and product development teams.
Requirements:
Bachelors degree or higher in Computer Science, Information Technology, Information Systems, Statistics, Mathematics, Commerce, Engineering, Business Management, Marketing or related field from top-tier school.
0 to 1 year experince in in data mining, data modeling, and reporting.
Understading of SaaS based products and services.
Understanding of machine-learning and operations research.
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset.
Knowledge using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop).
Analytical mind and business acumen and problem-solving aptitude.
Excellent communication and presentation skills.
Proficiency in Excel for data management and manipulation.
Experience in statistical modeling techniques and data wrangling.
Able to work independently and set goals keeping business objectives in mind.
Key Skills: Cloud computing, Data management, Data modeling, Machine learning, Business intelligence, Data mining, Information technology, SQL, Python",Hyderābād,"₹3,82,623",/yr (est.),1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6,job code data scientist fresher location hyderabad surat experience fresher date posted valid through job description job description identify valuable data sources and automate collection processes undertake preprocessing structured and unstructured data analyze large amounts information discover trends and patterns build predictive models and machine learning algorithms combine models through ensemble modeling present information using data visualization techniques propose solutions and strategies business challenges collaborate with engineering and product development teams requirements bachelors degree higher computer science information technology information systems statistics mathematics commerce engineering business management marketing related field from top tier school year experince data mining data modeling and reporting understading saas based products and services understanding machine learning and operations research knowledge sql and python familiarity with scala java asset knowledge using business intelligence tools tableau and data frameworks hadoop analytical mind and business acumen and problem solving aptitude excellent communication and presentation skills proficiency excel for data management and manipulation experience statistical modeling techniques and data wrangling able work independently and set goals keeping business objectives mind key skills cloud computing data management data modeling machine learning business intelligence data mining information technology sql python,3
