cleaned_text,cluster
junior data analyst take your next career step abb with global team that energizing the transformation society and industry achieve more productive sustainable future abb have the clear goal driving diversity and inclusion across all dimensions gender lgbtq abilities ethnicity and generations together are embarking journey where each and every one individually and collectively welcomes and celebrates individual differences you will working junior data analyst and will part process automation business area for measurement and analytics division based bangalore india this role you will reporting coe data management and analytics manager and will responsible for performing data analytics activities and developing analytical solutions enable business strategy development for existing and potential products systems services your responsibilities using data systems help gather measure organize and analyze data providing sound market and competitive intelligence analysis related market and trends preparing analysis internal sales technical and financial data interprets resulting data using statistical tools and making recommendations sales marketing finance and product management making diagnostic and predictive recommendations management existing gaps and new opportunities for growth identifying global trends and patterns across various dimensions extracting and analyzing data from sales financial tools and preparing reports for management give insights trends patterns and predictions across geographies assisting the development analytical tools and solutions support management drive key business decisions training business stakeholders proper usage dashboards and monitors going data quality your background tech bca bachelor data science minimum years experience data analytics and visualization hands experience basic advanced excel basic statistics etl tools power basic basic sql and python ability adapt problem solving skills and give recommendations stakeholders effective time management while handling business critical tasks good teamwork and collaboration with cross functional teams meet business deliverables good communication skills more about abb measurement analytics division among the world leading manufacturers and suppliers smart instrumentation and analyzers with thousands experts around the world and high performance digital technology abb team dedicated making measurement easy for its industrial and energy customers let them operate more efficiently and profitably look forward receiving your application documents submitted english are appreciated you want discover more about abb take another look our website www abb com has come our attention that the name abb being used for asking candidates make payments for job opportunities interviews offers please advised that abb makes such requests all our open positions are made available our career portal for all fitting the criteria apply abb does not charge any fee whatsoever for recruitment process please not make payments any individuals entities connection recruitment with abb even claimed that the money refundable abb not liable for such transactions for current open positions you can visit our career website https global abb group careers and apply please refer detailed recruitment fraud caution notice using the link https global abb group careers how apply fraud warning work model site onsite,1
job title data scientist job description job title data scientist overall responsibilities provide support with guidance solve complex problems medical image processing and deliver poc with trl level ready for npi program support collaboration with clinical scientists leader and universities drive advanced development projects medical image analytics from perspective support npi development and address time pressing complex lcm challenges with image processing using expertise higher degree learning attitude absorb newer knowledge medical image pre and post processing specific responsibilities hands work some the following tools packages technical areas and modeling techniques keras tensorflow pytorch scikit learn scikit image opencv pydicom matlab python java convolution neural networks other statistical modeling classification approaches regression svm pca opensource medical image visualization and segmentation tools like itk vtk medical image post processing techniques such noise reduction contrast enhancement bone suppression stitching ranging knowledge overall image quality analysis diagnostic ray images plus medical image pre processing gain offset correction emi emc correction modeling computer vision using video from about philips are health technology company built our entire company around the belief that every human matters and won stop until everybody everywhere has access the quality healthcare that all deserve the work your life help the lives others learn more about our business discover our rich and exciting history learn more about our purpose you interested this role and have many but not all the experiences needed encourage you apply you may still the right candidate for this other opportunities philips learn more about our commitment diversity and inclusion here,0
job description graduate post graduate degree with relevant field finance economics operation research statistics mathematics tech mba data science certification courses data science risk management similar areas will added advantage excellent coding skills latest statistical packages apps sas python term papers with demonstrated skills set modelling forecasting and optimization excellent quantitative aptitude and hands proficiency with analytical tools such sas python highly focused project delivery attention detail excellent written and verbal communication skills strong collaborative influencing skills strong analytical and problem solving skills open minded flexible pragmatic requirements qualifications external graduate post graduate degree with relevant field finance economics operation research statistics mathematics tech mba data science certification courses data science risk management similar areas will added advantage excellent coding skills latest statistical packages apps sas python term papers with demonstrated skills set modelling forecasting and optimization excellent quantitative aptitude and hands proficiency with analytical tools such sas python highly focused project delivery attention detail excellent written and verbal communication skills strong collaborative influencing skills strong analytical and problem solving skills open minded flexible pragmatic you achieve more hsbc hsbc equal opportunity employer committed building culture where all employees are valued respected and opinions count take pride providing workplace that fosters continuous professional development flexible working and opportunities grow within inclusive and diverse environment encourage applications from all suitably qualified persons irrespective but not limited their gender genetic information sexual orientation ethnicity religion social status medical care leave requirements political affiliation people with disabilities color national origin veteran status etc consider all applications based merit and suitability the role personal data held the bank relating employment applications will used accordance with our privacy statement which available our website issued hsbc electronic data processing india private ltd,0
job description experience years data operations education bachelor degree relevant field role responsibilities data analyst you will play critical role managing processing and optimizing data obtained from diverse sources your primary responsibilities will include data cleaning and preparation rigorously inspecting and cleansing data ensure its quality and accuracy this involves identifying and correcting errors filling missing values and standardizing data formats data integration and warehousing efficiently combining data from different sources create unified and coherent dataset managing data storage and retrieval data warehouses data quality assurance continuously monitoring and ensuring the high quality data implementing processes and standards maintain data integrity data analysis and interpretation developing deep understanding data attributes applying analytical skills interpret analyze and derive meaningful insights from data reporting and visualization creating reports and dashboards present data insights clear understandable manner utilizing data visualization tools aid understanding complex data patterns collaboration and communication working with various teams understand data needs share insights and support decision making processes requirements skills qualifications required successful this role the following skills are essential analytical thinking ability think critically and solve complex problems using data attention detail keen eye for details ensure accuracy and consistency data communication skills strong verbal and written communication skills effectively share insights and collaborate with team members research and analysis ability conduct comprehensive research new sources for availability and feasibility technical proficiency ability and knowledge translate business requirement the technology team understanding data processing tools like sql excel and familiarity with programming languages like python will added advantage data visualization ability derive insights from large volume data organizational skills ability manage multiple projects simultaneously and prioritize tasks effectively benefits benefits great workplace even better colleagues peers and mentors backed industry veterans with years experience the financial domain you get work with cutting edge technology product that will disrupt the financial crime and risk management sector competitive compensation and benefits group medical insurance with additional benefits provident fund gratuity days paid leave addition holidays note position open for pune bangalore locations industry technology city bangalore north state province karnataka country india zip postal code,3
job description you are strategic thinker passionate about driving solutions data domain you have found the right team this position will assist the sourcing development management and maintenance the analytics data for the consumer and business banking business the role requires strong techno functional and analytical background with focus joining business operational and financial metrics from multiple data sources interaction between finance information technology and other groups are required ensure the infrastructure fully meets business and ongoing reporting requirements the activities this role include analyzing consumer behaviors and the impact the economy and competition our business the mission liberate our stakeholders from manual inefficient tedious activities through automation and transforming how see and understand data using the latest innovative software employ data visualization techniques navigate the storyline generate the right insights and answer questions quickly job responsibilities work closely with the business users analysts understand requirements and functional needs translate business requirements into prototype solutions for new enhancement requests with appropriate standards the team work closely with end users during the uat phase the project and validate that production results comply with business requirements and expected results work with migrate production the developed solutions and sme escalation point for the deployed solutions locate and define new process improvement opportunities provide high level responsiveness hoc requests what scenario data analytics and regulatory inquiries utilize project management best practices track book work priorities communicate updates and manage projects successful completion explain data concepts challenges clearly non technical stakeholders required qualifications capabilities and skills years total experience within mis business intelligence and analytics roles must have the ability write advanced sql queries for analysis large datasets must have demonstrated knowledge excel including but not limited pivot vlookup etc must have demonstrated knowledge one more data business intelligence concepts including etl data modeling reporting automation and dashboarding proven experience delivering timely high quality analysis from diverse complex data sources attention detail must team player excellent communication project management and client partnership ability self starter demonstrated ability complete assigned tasks independently with minimum supervision preferred qualifications capabilities and skills finance accounting environment experience plus big data tableau experience plus alteryx python knowledge plus about jpmorgan chase one the oldest financial institutions offers innovative financial solutions millions consumers small businesses and many the world most prominent corporate institutional and government clients under the morgan and chase brands our history spans over years and today are leader investment banking consumer and small business banking commercial banking financial transaction processing and asset management recognize that our people are our strength and the diverse talents they bring our global workforce are directly linked our success are equal opportunity employer and place high value diversity and inclusion our company not discriminate the basis any protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability any other basis protected under applicable law accordance with applicable law make reasonable accommodations for applicants and employees religious practices and beliefs well any mental health physical disability needs about the team our consumer community banking division serves our chase customers through range financial services including personal banking credit cards mortgages auto financing investment advice small business loans and payment processing proud lead the credit card sales and deposit growth and have the most used digital solutions all while ranking first customer satisfaction the ccb data analytics team responsibly leverages data across chase build competitive advantages for the businesses while providing value and protection for customers the team encompasses variety disciplines from data governance and strategy reporting data science and machine learning have strong partnership with technology which provides cutting edge data and analytics infrastructure the team powers chase with insights create the best customer and business outcomes,1
job code data scientist fresher location bangalore hyderabad experience fresher date posted valid through job description job description understand the business problem and provide data science solutions building data science solutions end end carry out proof concept for data science problems collaborate with product and engineering teams build data science solutions end end exploratory data analysis support existing and future data science projects build dashboards monitor the data science projects performance and communicate the metrics the business team preferred qualifications work experience years data science experience machine learning knowledge well versed with machine learning concepts and have built projects end understanding mathematical concepts behind models statistical data analysis proficiency applying statistical techniques analyze data and generate useful business insights data visualization skill creating meaningful visualizations complex data sets using tools like tableau powerbi python libraries matplotlib seaborn model evaluation and tuning knowledge techniques for evaluating and improving the performance machine learning models coding skills strong coding skills python able write modular and reusable code key skills supply chain data analysis sales operations coding machine learning customer service data visualization operations analytics python,3
highlights experience freshers joining date immediate qualification preferably bachelor degree master degree engineering statistics mathematics job description spectacular opportunity awaits those who are passionate about data science are looking for graduates given training both the domains mentioned this will followed absorption you are able prove your competency over the duration training you may graduate engineering mathematics statistics will remote and online training program conducted directly from kochi india remember all you need prove you are worthy the role over the month duration showcasing your attitude talent skills and the hands training program completely free you will start receiving the best class salary after the training done with and you are absorbed that time you would have proven your mettle and suitability our complete satisfaction please note that payment will provided over the training period the candidates selected will impart you the requisite knowledge and exposure awesome work culture that will kickstart your career once and for ever candidates who complete the training our satisfaction will provided with certificate completion responsibilities developing and implementing data analyses data collection systems and other strategies that optimize statistical efficiency and quality interpreting data analysing results using statistical techniques identify analyse and interpret trends patterns complex data sets filter and clean data reviewing computer reports printouts and performance indicators locate and correct code problems work with the team prioritize business and information needs acquiring data from primary secondary data sources and maintaining databases key skills requirements analytical skills business analysts work with large amounts data facts figures and number crunching you will need see through the data and analyse find conclusions communication skills business analysts are often called present their findings translate the data into understandable document you will need write and speak clearly easily communicating complex ideas critical thinking business analysts must look the numbers trends and data and come new conclusions based the findings attention detail data precise analysts have make sure they are vigilant their analysis come correct conclusions math skills data analysts need math skills estimate numerical data adeptat queries report writing and presenting findings conscious listening and storytelling skills ability collaborate effectively and work part team knowledge statistics and experience using statistical packages for analysing datasets spss sas python and visualization tools tableau power added advantage perks careers beinex comprehensive health plans learning and development workation and outdoor training hybrid working environment site travel opportunity beinex branded merchandise,1
job code data scientist fresher location hyderabad surat experience fresher date posted valid through job description job description identify valuable data sources and automate collection processes undertake preprocessing structured and unstructured data analyze large amounts information discover trends and patterns build predictive models and machine learning algorithms combine models through ensemble modeling present information using data visualization techniques propose solutions and strategies business challenges collaborate with engineering and product development teams requirements bachelors degree higher computer science information technology information systems statistics mathematics commerce engineering business management marketing related field from top tier school year experince data mining data modeling and reporting understading saas based products and services understanding machine learning and operations research knowledge sql and python familiarity with scala java asset knowledge using business intelligence tools tableau and data frameworks hadoop analytical mind and business acumen and problem solving aptitude excellent communication and presentation skills proficiency excel for data management and manipulation experience statistical modeling techniques and data wrangling able work independently and set goals keeping business objectives mind key skills cloud computing data management data modeling machine learning business intelligence data mining information technology sql python,3
the data science team oracle analytics works diverse data science problems enterprise data such invoice payment prediction churn prediction demand prediction and recommender systems use combination technologies including text processing information retrieval natural language processing including large language models and time series prediction member the data science team you will perform the following tasks understand background literature relevant research papers the problem domains processing cleansing and verification data data engineering perform adhoc analysis and visualization data develop machine learning models using pyspark scikit learn keras tensorflow pytorch etc work data pipelines for deploying the machine learning models using oracle dataflow post deployment analysis models good programming software skills python pyspark and prior industrial experience data science machine learning required for this position experience creating deploying models spark environments desirable interacts with product and service teams identify questions and issues for data analysis and experiments develops and codes software programs algorithms and automated processes cleanse integrate and evaluate large datasets from multiple disparate sources identifies meaningful insights from large data and metadata sources interprets and communicates insights and findings from analysis and experiments product service and business managers,3
about phonepe group phonepe india leading digital payments company with crore million registered users and crore million merchants covering over the postal codes across india the back its leadership digital payments phonepe has expanded into financial services insurance mutual funds stock broking and lending well adjacent tech enabled businesses such pincode for hyperlocal shopping and indus app store which india first localized app store the phonepe group portfolio businesses aligned with the company vision offer every indian equal opportunity accelerate their progress unlocking the flow money and access services culture phonepe take extra care make sure you give your best work everyday and creating the right environment for you just one the things empower people and trust them the right thing here you own your work from start finish right from day one being enthusiastic about tech big part being phonepe you like building technology that impacts millions ideating with some the best minds the country and executing your dreams with purpose and speed join responsibilities plan expand our data science team and are looking for senior data scientists who will work applications related financial services they will work dynamic environment and with cross functional teams assist those teams every possible manner ensure that our products help our users derive most value they will expected work with product business engineering teams help them understand what data science can for them and set the right expectations analyze large volumes data and implement and deploy solutions necessary able clearly communicate results and recommendations various stakeholders evaluate the effectiveness the solutions and improve upon them continuous manner expect them have mix strong technical background the ability understand the business implications their work and the ability empathize with our users and work towards helping phonepe give them the best experience and help and mentor junior members become better data scientists qualifications bachelor higher degree quantitative discipline computer science statistics engineering applied mathematics yrs relevant experience specific technical skills include expertise java python shell scripting languages expertise querying relational non relational graph databases ability clearly communicate and work with people different backgrounds experience big data technologies spark mapreduce pig hive experience using machine learning structured text video data libraries preferably python deep learning tensorflow pytorch experience using visualization libraries good have hands experience with source control and deployment tools git jenkins etc phonepe full time employee benefits not applicable for intern contract roles insurance benefits medical insurance critical illness insurance accidental insurance life insurance wellness program employee assistance program onsite medical center emergency support system parental support maternity benefit paternity benefit program adoption assistance program day care support program mobility benefits relocation benefits transfer support policy travel policy retirement benefits employee contribution flexible contribution gratuity nps leave encashment other benefits higher education assistance car lease salary advance policy working phonepe rewarding experience great people work environment that thrives creativity the opportunity take roles beyond defined job description are just some the reasons you should work with read more about phonepe our blog,1
